id,customer_id,product_id,quantity,timestamp,payment_method
1,908,394,1,2025-07-19 10:35:27,Bank Transfer
2,461,486,3,2024-12-08 10:35:27,Bank Transfer
3,337,266,5,2025-06-01 10:35:27,Credit Card
4,35,112,5,2025-06-05 10:35:27,Credit Card
5,295,381,1,2025-09-04 10:35:27,Credit Card
6,241,134,4,2025-08-13 10:35:27,Credit Card
7,844,215,5,2024-11-11 10:35:27,Credit Card
8,842,424,2,2025-06-11 10:35:27,PayPal
9,122,422,3,2025-08-23 10:35:27,Bank Transfer
10,378,360,4,2024-11-11 10:35:27,PayPal
11,577,85,4,2024-11-06 10:35:27,Credit Card
12,763,218,3,2025-04-29 10:35:27,PayPal
13,315,359,5,2025-03-07 10:35:27,Credit Card
14,491,385,4,2025-08-04 10:35:27,Credit Card
15,414,219,5,2025-02-24 10:35:27,Bank Transfer
16,881,53,3,2024-10-28 10:35:27,Credit Card
17,513,121,2,2025-09-18 10:35:27,Credit Card
18,303,205,3,2024-11-03 10:35:27,Bank Transfer
19,118,58,1,2025-03-25 10:35:27,PayPal
20,458,290,3,2025-03-30 10:35:27,Credit Card
21,698,367,1,2025-02-13 10:35:27,PayPal
22,738,107,3,2025-09-27 10:35:27,Credit Card
23,454,99,1,2025-01-03 10:35:27,Credit Card
24,322,463,1,2024-12-09 10:35:27,PayPal
25,768,223,5,2025-05-25 10:35:27,Bank Transfer
26,412,76,1,2025-04-29 10:35:27,PayPal
27,307,75,2,2025-01-14 10:35:27,PayPal
28,798,153,1,2025-01-20 10:35:27,Bank Transfer
29,674,88,2,2025-08-31 10:35:27,Bank Transfer
30,996,89,4,2024-11-10 10:35:27,Credit Card
31,837,367,5,2025-02-19 10:35:27,Credit Card
32,125,335,5,2024-11-10 10:35:27,PayPal
33,321,383,2,2025-10-18 10:35:27,Bank Transfer
34,529,226,5,2025-07-31 10:35:27,Bank Transfer
35,227,201,4,2025-05-23 10:35:27,Bank Transfer
36,146,82,1,2025-09-29 10:35:27,Credit Card
37,919,460,5,2025-04-20 10:35:27,PayPal
38,199,226,4,2025-04-10 10:35:27,Bank Transfer
39,571,336,4,2025-05-23 10:35:27,Bank Transfer
40,203,394,4,2025-04-22 10:35:27,Bank Transfer
41,140,224,5,2025-06-03 10:35:27,Bank Transfer
42,573,270,2,2025-06-24 10:35:27,PayPal
43,956,114,3,2025-06-28 10:35:27,Credit Card
44,653,83,1,2025-08-04 10:35:27,Bank Transfer
45,669,260,1,2025-06-12 10:35:27,Credit Card
46,738,113,1,2025-10-09 10:35:27,Bank Transfer
47,646,215,4,2025-02-01 10:35:27,PayPal
48,50,256,4,2025-03-01 10:35:27,Credit Card
49,652,171,5,2025-03-08 10:35:27,Bank Transfer
50,21,30,1,2025-04-26 10:35:27,PayPal
51,709,97,1,2025-06-12 10:35:27,Credit Card
52,51,219,3,2025-01-08 10:35:27,PayPal
53,737,27,4,2025-08-14 10:35:27,Bank Transfer
54,112,428,5,2024-11-21 10:35:27,Credit Card
55,847,194,5,2025-01-16 10:35:27,PayPal
56,606,74,3,2024-10-25 10:35:27,PayPal
57,101,430,3,2025-08-18 10:35:27,Credit Card
58,203,344,4,2025-06-11 10:35:27,Bank Transfer
59,879,484,2,2025-03-09 10:35:27,Bank Transfer
60,25,329,3,2025-09-26 10:35:27,PayPal
61,338,155,2,2025-10-11 10:35:27,Credit Card
62,352,281,2,2025-09-28 10:35:27,PayPal
63,344,407,5,2025-04-25 10:35:27,Credit Card
64,71,189,5,2025-06-05 10:35:27,Bank Transfer
65,557,459,2,2025-10-20 10:35:27,Bank Transfer
66,311,478,4,2025-01-07 10:35:27,Bank Transfer
67,774,389,3,2024-12-16 10:35:27,Credit Card
68,638,103,1,2025-02-16 10:35:27,Credit Card
69,794,460,3,2025-10-09 10:35:27,Bank Transfer
70,494,446,1,2025-08-26 10:35:27,PayPal
71,871,158,1,2024-12-01 10:35:27,PayPal
72,648,28,1,2025-09-03 10:35:27,PayPal
73,319,73,3,2025-10-03 10:35:27,Credit Card
74,526,103,4,2025-05-03 10:35:27,PayPal
75,238,390,1,2025-08-07 10:35:27,PayPal
76,549,297,5,2024-12-28 10:35:27,PayPal
77,444,450,3,2025-07-22 10:35:27,PayPal
78,544,230,5,2025-07-25 10:35:27,Credit Card
79,608,364,1,2024-11-28 10:35:27,Bank Transfer
80,39,185,5,2025-10-01 10:35:27,Bank Transfer
81,997,178,5,2025-02-13 10:35:27,Bank Transfer
82,609,463,3,2025-03-19 10:35:27,Credit Card
83,305,428,1,2025-06-22 10:35:27,Bank Transfer
84,531,17,5,2024-11-19 10:35:27,Credit Card
85,906,18,2,2025-02-09 10:35:27,Bank Transfer
86,619,465,2,2025-04-28 10:35:27,PayPal
87,908,312,3,2024-10-28 10:35:27,Bank Transfer
88,18,273,2,2025-03-18 10:35:27,PayPal
89,986,317,3,2025-06-07 10:35:27,PayPal
90,767,217,2,2024-11-11 10:35:27,PayPal
91,588,378,2,2025-01-03 10:35:27,PayPal
92,804,169,2,2025-10-13 10:35:27,Bank Transfer
93,765,407,4,2025-05-20 10:35:27,Bank Transfer
94,452,3,1,2025-01-06 10:35:27,Credit Card
95,530,41,4,2024-12-26 10:35:27,PayPal
96,780,353,1,2025-07-30 10:35:27,PayPal
97,476,13,2,2025-08-28 10:35:27,Bank Transfer
98,608,249,2,2024-10-31 10:35:27,Credit Card
99,542,370,2,2025-05-21 10:35:27,Bank Transfer
100,524,184,4,2025-06-10 10:35:27,PayPal
101,640,246,1,2025-07-24 10:35:27,PayPal
102,941,174,3,2025-03-03 10:35:27,PayPal
103,537,341,3,2025-01-22 10:35:27,Bank Transfer
104,433,25,5,2025-03-31 10:35:27,Bank Transfer
105,680,436,1,2025-03-05 10:35:27,PayPal
106,856,137,4,2025-07-03 10:35:27,Bank Transfer
107,970,482,1,2025-04-04 10:35:27,Credit Card
108,469,472,3,2025-01-28 10:35:27,Bank Transfer
109,904,461,4,2025-06-04 10:35:27,Credit Card
110,834,31,3,2025-01-25 10:35:27,Bank Transfer
